AGENCY_ID,PRIMARY_AGENCY_ID,PROD_ABBR,PROD_LINE,STATE_ABBR,STAT_PROFILE_DATE_YEAR,RETENTION_POLY_QTY,POLY_INFORCE_QTY,PREV_POLY_INFORCE_QTY,NB_WRTN_PREM_AMT,WRTN_PREM_AMT,PREV_WRTN_PREM_AMT,PRD_ERND_PREM_AMT,PRD_INCRD_LOSSES_AMT,MONTHS,RETENTION_RATIO,LOSS_RATIO,LOSS_RATIO_3YR,GROWTH_RATE_3YR,AGENCY_APPOINTMENT_YEAR,ACTIVE_PRODUCERS,MAX_AGE,MIN_AGE,VENDOR_IND,VENDOR,PL_START_YEAR,PL_END_YEAR,COMMISIONS_START_YEAR,COMMISIONS_END_YEAR,CL_START_YEAR,CL_END_YEAR,ACTIVITY_NOTES_START_YEAR,ACTIVITY_NOTES_END_YEAR,CL_BOUND_CT_MDS,CL_QUO_CT_MDS,CL_BOUND_CT_SBZ,CL_QUO_CT_SBZ,CL_BOUND_CT_eQT,CL_QUO_CT_eQT,PL_BOUND_CT_ELINKS,PL_QUO_CT_ELINKS,PL_BOUND_CT_PLRANK,PL_QUO_CT_PLRANK,PL_BOUND_CT_eQTte,PL_QUO_CT_eQTte,PL_BOUND_CT_APPLIED,PL_QUO_CT_APPLIED,PL_BOUND_CT_TRANSACTNOW,PL_QUO_CT_TRANSACTNOW
3,3,BOILERMACH,CL,IN,2005,0,0,0,40,3074.63,149,3005.77,0,8,99999,0,99999,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2006,0,0,0,151,6562.28,5438.55,6433.44,0,12,99999,0,0.69538969,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2007,0,0,0,40,6205.11,6562.28,6357.09,0,12,99999,0,0.472728542,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2008,0,0,0,69,5159.89,6205.11,5315.01,0,12,99999,0,0.445760254,-0.082901913,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2009,0,0,0,28,4527.71,5159.89,4706.47,0,12,99999,0,0.337674382,-0.148077899,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2010,0,0,0,120,4768.49,4527.71,4653.02,8972.35,12,99999,1.881591447,0.338718644,-0.143914947,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2011,0,0,0,231,4988.11,4768.49,4790.67,3525.92,12,99999,0.706864925,0.357037579,-0.078701876,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2012,0,0,0,0,4905.49,4988.11,5005.71,0,12,99999,0,0.327769075,-0.050957377,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2013,0,0,0,111,4545.51,4905.49,4749.26,0,12,99999,0,0.448944554,-0.000055442,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2014,0,0,0,213,3662.71,4545.51,3838.8,0,12,99999,0,0.381667016,-0.115753905,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,IN,2015,0,0,0,0,1922.83,1453.42,1534.44,0,5,99999,0,99999,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2005,0,0,0,0,361.68,46.54,216.2,0,8,99999,0,99999,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2006,0,0,0,0,458.04,457.91,464.5,0,12,99999,0,0.69538969,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2007,0,0,0,0,403.42,458.04,420.28,0,12,99999,0,0.472728542,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2008,0,0,0,0,372.49,403.42,375.42,0,12,99999,0,0.445760254,-0.082901913,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2009,0,0,0,0,303.51,372.49,319.91,0,12,99999,0,0.337674382,-0.148077899,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2010,0,0,0,0,271.01,303.51,293.77,0,12,99999,0,0.338718644,-0.143914947,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2011,0,0,0,638.24,939.63,271.01,894.53,0,12,99999,0,0.357037579,-0.078701876,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2012,0,0,0,233.71,1152.19,939.63,977.1,0,12,99999,0,0.327769075,-0.050957377,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2013,0,0,0,0,1985.89,1152.19,1241.58,0,12,99999,0,0.448944554,-0.000055442,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2014,0,0,0,0,1281.79,1985.89,1281.06,0,12,99999,0,0.381667016,-0.115753905,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOILERMACH,CL,KY,2015,0,0,0,0,0,0,530.27,0,5,99999,99999,99999,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2005,0,0,0,0,13607.47,13588.09,17667.42,16667.51,8,99999,1.224879423,99999,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2006,0,0,0,0,24201.76,26772.94,24653.47,18441.39,12,99999,0.761985492,0.69538969,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2007,0,0,0,539,24023.92,24201.76,23513.78,78153.4,12,99999,3.253149361,0.472728542,99999,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2008,0,0,0,0,22478.8,24023.92,22993.54,32186.35,12,99999,1.431853569,0.445760254,-0.082901913,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2009,0,0,0,0,17790.39,22478.8,22093.28,16459.61,12,99999,0.925196693,0.337674382,-0.148077899,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2010,0,0,0,0,18485.19,17790.39,18583.47,14000,12,99999,0.757363057,0.338718644,-0.143914947,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2011,0,0,0,0,19251.41,18485.19,19045.77,0,12,99999,0,0.357037579,-0.078701876,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2012,0,0,0,0,20704.71,19251.41,20399.14,0,12,99999,0,0.327769075,-0.050957377,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
3,3,BOP,CL,IN,2013,0,0,0,0,21616,20704.71,21086.84,0,12,99999,0,0.448944554,-0.000055442,1957,14,85,48,N,Unknown,99999,99999,99999,99999,99999,99999,99999,99999,0,1,0,0,0,0,0,0,0,103,50,288,0,0,0,0
